,path,labels,hog_features
27,/content/vehicle-detection-image-set/data/vehicles/5194.png,1.0,[0.23189263 0.09898916 0.         ... 0.         0.         0.        ]
28,/content/vehicle-detection-image-set/data/vehicles/4241.png,1.0,[0.29885085 0.06560335 0.         ... 0.0304949  0.         0.        ]
29,/content/vehicle-detection-image-set/data/vehicles/middle (174).png,1.0,[0.04829381 0.         0.         ... 0.         0.         0.        ]
30,/content/vehicle-detection-image-set/data/non-vehicles/image1898.png,0.0,[0.34446434 0.07100983 0.         ... 0.         0.10696393 0.25649828]
31,/content/vehicle-detection-image-set/data/vehicles/left (374).png,1.0,[0.30424102 0.12103948 0.         ... 0.05849596 0.06821742 0.        ]
32,/content/vehicle-detection-image-set/data/non-vehicles/image1089.png,0.0,[0.0379249  0.         0.         ... 0.14543936 0.         0.        ]
33,/content/vehicle-detection-image-set/data/vehicles/3985.png,1.0,[0.30957746 0.         0.         ... 0.         0.         0.        ]
34,/content/vehicle-detection-image-set/data/vehicles/4944.png,1.0,[0.13003408 0.09288149 0.         ... 0.         0.         0.        ]
35,/content/vehicle-detection-image-set/data/non-vehicles/extra4807.png,0.0,[0.13320897 0.12200729 0.28659007 ... 0.         0.10240402 0.        ]
36,/content/vehicle-detection-image-set/data/non-vehicles/extra3749.png,0.0,[0.21826192 0.         0.         ... 0.0894996  0.         0.        ]
37,/content/vehicle-detection-image-set/data/non-vehicles/image997.png,0.0,[0.10100593 0.         0.08195503 ... 0.13807919 0.06175089 0.        ]
38,/content/vehicle-detection-image-set/data/non-vehicles/image1390.png,0.0,[0.12599467 0.         0.         ... 0.26428968 0.08388093 0.        ]
39,/content/vehicle-detection-image-set/data/non-vehicles/extra1270.png,0.0,[0.11105662 0.         0.         ... 0.07626866 0.13817158 0.        ]
40,/content/vehicle-detection-image-set/data/vehicles/4808.png,1.0,[0.13029833 0.06530534 0.         ... 0.         0.         0.02824172]
41,/content/vehicle-detection-image-set/data/non-vehicles/extra598.png,0.0,[0.25505368 0.         0.         ... 0.         0.         0.        ]
42,/content/vehicle-detection-image-set/data/non-vehicles/extra4760.png,0.0,[0.31472974 0.         0.18743969 ... 0.04090871 0.01428594 0.04040674]
43,/content/vehicle-detection-image-set/data/non-vehicles/extra4572.png,0.0,[0.15180032 0.         0.         ... 0.         0.         0.05953557]
44,/content/vehicle-detection-image-set/data/vehicles/5018.png,1.0,[0.36830051 0.         0.         ... 0.         0.20460087 0.        ]
45,/content/vehicle-detection-image-set/data/vehicles/far (392).png,1.0,[0.34911327 0.14279193 0.         ... 0.04041732 0.12847448 0.20212786]
46,/content/vehicle-detection-image-set/data/non-vehicles/image2204.png,0.0,[0.2624663 0.        0.        ... 0.        0.        0.       ]
47,/content/vehicle-detection-image-set/data/vehicles/3243.png,1.0,[0.13437759 0.         0.         ... 0.0821429  0.20942414 0.        ]
48,/content/vehicle-detection-image-set/data/vehicles/4755.png,1.0,[0.19831867 0.11917468 0.         ... 0.         0.         0.        ]
49,/content/vehicle-detection-image-set/data/vehicles/middle (279).png,1.0,[0.28558217 0.         0.         ... 0.         0.         0.        ]
50,/content/vehicle-detection-image-set/data/vehicles/3411.png,1.0,[0.01304211 0.         0.         ... 0.         0.         0.        ]
51,/content/vehicle-detection-image-set/data/vehicles/2546.png,1.0,[0.39670326 0.         0.         ... 0.10400839 0.         0.        ]
52,/content/vehicle-detection-image-set/data/vehicles/4609.png,1.0,[0.10155292 0.         0.         ... 0.         0.         0.        ]
53,/content/vehicle-detection-image-set/data/vehicles/4124.png,1.0,[0.37043534 0.         0.         ... 0.         0.         0.        ]
54,/content/vehicle-detection-image-set/data/non-vehicles/extra3645.png,0.0,[0.08118984 0.         0.         ... 0.         0.         0.        ]
55,/content/vehicle-detection-image-set/data/non-vehicles/extra4968.png,0.0,[0.323466 0.       0.       ... 0.       0.       0.      ]
56,/content/vehicle-detection-image-set/data/vehicles/5338.png,1.0,[0.34354458 0.14406307 0.         ... 0.         0.         0.        ]
57,/content/vehicle-detection-image-set/data/vehicles/2384.png,1.0,[0.14850748 0.         0.29122353 ... 0.26245029 0.13781332 0.        ]
58,/content/vehicle-detection-image-set/data/non-vehicles/image561.png,0.0,[0.25798184 0.12704132 0.15042796 ... 0.         0.28314958 0.28314958]
59,/content/vehicle-detection-image-set/data/non-vehicles/image2751.png,0.0,[0.13135486 0.         0.         ... 0.         0.24722    0.24722   ]
60,/content/vehicle-detection-image-set/data/vehicles/1767.png,1.0,[0.26928796 0.         0.         ... 0.09902814 0.07541758 0.        ]
61,/content/vehicle-detection-image-set/data/non-vehicles/extra1411.png,0.0,[0.21818998 0.         0.         ... 0.28695194 0.         0.        ]
62,/content/vehicle-detection-image-set/data/vehicles/middle (392).png,1.0,[0.27474272 0.         0.11326133 ... 0.1333664  0.         0.        ]
63,/content/vehicle-detection-image-set/data/non-vehicles/extra529.png,0.0,[0.12780078 0.         0.         ... 0.29556594 0.29556594 0.        ]
64,/content/vehicle-detection-image-set/data/non-vehicles/extra1886.png,0.0,[0.13632775 0.         0.         ... 0.         0.2093785  0.        ]
65,/content/vehicle-detection-image-set/data/vehicles/2975.png,1.0,[0.02994598 0.         0.         ... 0.08032633 0.         0.        ]
66,/content/vehicle-detection-image-set/data/vehicles/middle (237).png,1.0,[0.06611702 0.         0.08753438 ... 0.         0.         0.12958677]
67,/content/vehicle-detection-image-set/data/non-vehicles/image801.png,0.0,[0.06763731 0.         0.         ... 0.         0.         0.        ]
68,/content/vehicle-detection-image-set/data/non-vehicles/image89.png,0.0,[0.02110293 0.         0.         ... 0.         0.         0.        ]
69,/content/vehicle-detection-image-set/data/non-vehicles/extra22.png,0.0,[0.26648173 0.31852855 0.         ... 0.22721156 0.35344339 0.        ]
70,/content/vehicle-detection-image-set/data/non-vehicles/extra4373.png,0.0,[0.06696431 0.07486838 0.04735091 ... 0.         0.         0.        ]
71,/content/vehicle-detection-image-set/data/vehicles/2571.png,1.0,[0.01474085 0.         0.         ... 0.03183045 0.         0.        ]
72,/content/vehicle-detection-image-set/data/vehicles/2108.png,1.0,[0.09197629 0.         0.         ... 0.         0.11376662 0.0192985 ]
73,/content/vehicle-detection-image-set/data/vehicles/middle (144).png,1.0,[0.30106217 0.         0.30106217 ... 0.05491835 0.         0.        ]
74,/content/vehicle-detection-image-set/data/non-vehicles/image3443.png,0.0,[0.08493084 0.         0.         ... 0.         0.19085539 0.        ]
75,/content/vehicle-detection-image-set/data/vehicles/far (828).png,1.0,[0.22820839 0.         0.         ... 0.07454195 0.05893059 0.        ]
76,/content/vehicle-detection-image-set/data/non-vehicles/extra3215.png,0.0,[0.01430703 0.         0.         ... 0.27560605 0.         0.24379276]
77,/content/vehicle-detection-image-set/data/vehicles/middle (341).png,1.0,[0.0693818  0.         0.         ... 0.         0.16536168 0.28848722]
78,/content/vehicle-detection-image-set/data/vehicles/1325.png,1.0,[0.27181303 0.         0.10424826 ... 0.         0.         0.        ]
79,/content/vehicle-detection-image-set/data/non-vehicles/image3698.png,0.0,[0.12790464 0.         0.         ... 0.45038328 0.0540751  0.        ]
80,/content/vehicle-detection-image-set/data/non-vehicles/extra3771.png,0.0,[0.08608012 0.         0.         ... 0.         0.0465656  0.        ]
81,/content/vehicle-detection-image-set/data/vehicles/5943.png,1.0,[0.08826636 0.         0.         ... 0.         0.         0.        ]
82,/content/vehicle-detection-image-set/data/vehicles/2227.png,1.0,[0.20472702 0.         0.         ... 0.         0.06851716 0.        ]
83,/content/vehicle-detection-image-set/data/non-vehicles/image970.png,0.0,[0. 0. 0. ... 0. 0. 0.]
84,/content/vehicle-detection-image-set/data/vehicles/far (326).png,1.0,[0.10224581 0.05138756 0.0567403  ... 0.         0.02498852 0.04504869]
85,/content/vehicle-detection-image-set/data/non-vehicles/image2219.png,0.0,[0.27842954 0.         0.         ... 0.28422352 0.         0.25287938]
86,/content/vehicle-detection-image-set/data/non-vehicles/extra5182.png,0.0,[0.28707273 0.28707273 0.08899795 ... 0.         0.         0.        ]
87,/content/vehicle-detection-image-set/data/non-vehicles/extra4515.png,0.0,[0.11825805 0.         0.         ... 0.04139234 0.         0.        ]
88,/content/vehicle-detection-image-set/data/vehicles/far (411).png,1.0,[0.1470638  0.05480744 0.03923616 ... 0.3350412  0.05466552 0.38326132]
89,/content/vehicle-detection-image-set/data/vehicles/4646.png,1.0,[0.04306617 0.14138418 0.         ... 0.         0.         0.        ]
90,/content/vehicle-detection-image-set/data/vehicles/1277.png,1.0,[0.11900353 0.         0.1206525  ... 0.         0.09127431 0.16219036]
91,/content/vehicle-detection-image-set/data/non-vehicles/extra5173.png,0.0,[0.16557236 0.         0.         ... 0.         0.         0.        ]
92,/content/vehicle-detection-image-set/data/vehicles/1695.png,1.0,[0.28488416 0.17794451 0.         ... 0.         0.         0.        ]
93,/content/vehicle-detection-image-set/data/non-vehicles/extra1122.png,0.0,[0.31071552 0.         0.         ... 0.06675179 0.28960939 0.        ]
94,/content/vehicle-detection-image-set/data/vehicles/far (384).png,1.0,[0.38882401 0.         0.         ... 0.         0.         0.        ]
95,/content/vehicle-detection-image-set/data/non-vehicles/image1452.png,0.0,[0.11795614 0.         0.         ... 0.         0.         0.        ]
96,/content/vehicle-detection-image-set/data/vehicles/right (394).png,1.0,[0.34028924 0.         0.         ... 0.         0.1127471  0.        ]
97,/content/vehicle-detection-image-set/data/vehicles/4862.png,1.0,[0.28312813 0.11295633 0.         ... 0.         0.         0.        ]
98,/content/vehicle-detection-image-set/data/non-vehicles/extra1383.png,0.0,[0.15192951 0.         0.         ... 0.         0.         0.        ]
99,/content/vehicle-detection-image-set/data/non-vehicles/image2395.png,0.0,[0.01513974 0.         0.10705416 ... 0.14135643 0.07959674 0.26866885]
100,/content/vehicle-detection-image-set/data/non-vehicles/extra4766.png,0.0,[0.0552677  0.14852749 0.         ... 0.01482056 0.         0.        ]
101,/content/vehicle-detection-image-set/data/vehicles/569.png,1.0,[0.00930644 0.         0.         ... 0.         0.         0.        ]
102,/content/vehicle-detection-image-set/data/non-vehicles/image2278.png,0.0,[0.35375891 0.06355009 0.         ... 0.         0.09691839 0.        ]
103,/content/vehicle-detection-image-set/data/non-vehicles/extra5237.png,0.0,[0.29187617 0.11407809 0.         ... 0.         0.         0.        ]
104,/content/vehicle-detection-image-set/data/non-vehicles/extra3478.png,0.0,[0.09783258 0.22309259 0.18459014 ... 0.         0.         0.        ]
105,/content/vehicle-detection-image-set/data/non-vehicles/image3314.png,0.0,[0.28300146 0.         0.         ... 0.27886752 0.25613517 0.        ]
106,/content/vehicle-detection-image-set/data/vehicles/4665.png,1.0,[0.29166116 0.         0.         ... 0.         0.         0.43664713]
107,/content/vehicle-detection-image-set/data/non-vehicles/image670.png,0.0,[0.13228782 0.         0.         ... 0.         0.         0.        ]
108,/content/vehicle-detection-image-set/data/vehicles/left (376).png,1.0,[0.29758037 0.14902391 0.         ... 0.         0.         0.        ]
109,/content/vehicle-detection-image-set/data/non-vehicles/extra1110.png,0.0,[0.36477022 0.         0.         ... 0.06763767 0.         0.15124245]
110,/content/vehicle-detection-image-set/data/non-vehicles/extra2613.png,0.0,[0.00488224 0.         0.         ... 0.         0.         0.        ]
111,/content/vehicle-detection-image-set/data/non-vehicles/extra3724.png,0.0,[0.32671243 0.15515936 0.         ... 0.         0.         0.        ]
112,/content/vehicle-detection-image-set/data/vehicles/2786.png,1.0,[0.29184066 0.07707515 0.         ... 0.         0.14056245 0.        ]
113,/content/vehicle-detection-image-set/data/non-vehicles/extra2060.png,0.0,[0.15043102 0.         0.         ... 0.         0.         0.        ]
114,/content/vehicle-detection-image-set/data/vehicles/left (208).png,1.0,[0.04294193 0.         0.         ... 0.178861   0.         0.        ]
115,/content/vehicle-detection-image-set/data/vehicles/1062.png,1.0,[0.08714057 0.         0.         ... 0.         0.02317652 0.21172101]
116,/content/vehicle-detection-image-set/data/non-vehicles/extra3933.png,0.0,[0.33233059 0.         0.         ... 0.         0.         0.        ]
117,/content/vehicle-detection-image-set/data/non-vehicles/image865.png,0.0,[0.13720677 0.09204109 0.         ... 0.         0.         0.28790566]
118,/content/vehicle-detection-image-set/data/vehicles/3758.png,1.0,[0.04467479 0.         0.         ... 0.         0.         0.        ]
119,/content/vehicle-detection-image-set/data/vehicles/4716.png,1.0,[0.35026836 0.         0.         ... 0.28602372 0.03308974 0.        ]
120,/content/vehicle-detection-image-set/data/non-vehicles/image1391.png,0.0,[0.07962495 0.         0.         ... 0.         0.         0.27064127]
121,/content/vehicle-detection-image-set/data/non-vehicles/extra5383.png,0.0,[0.09447006 0.15122589 0.         ... 0.14091266 0.25501112 0.        ]
122,/content/vehicle-detection-image-set/data/non-vehicles/extra5391.png,0.0,[0.17015887 0.         0.         ... 0.         0.         0.        ]
123,/content/vehicle-detection-image-set/data/vehicles/3162.png,1.0,[0.08341761 0.         0.         ... 0.25504312 0.         0.        ]
124,/content/vehicle-detection-image-set/data/vehicles/3701.png,1.0,[0.36657215 0.         0.         ... 0.13099176 0.14752095 0.16493344]
125,/content/vehicle-detection-image-set/data/vehicles/2534.png,1.0,[0.17172032 0.         0.         ... 0.18810885 0.06842871 0.09163071]
126,/content/vehicle-detection-image-set/data/vehicles/4806.png,1.0,[0.01298722 0.         0.         ... 0.         0.         0.        ]
127,/content/vehicle-detection-image-set/data/vehicles/4104.png,1.0,[0.05567206 0.1244865  0.         ... 0.         0.         0.        ]
128,/content/vehicle-detection-image-set/data/vehicles/976.png,1.0,[0.06417821 0.         0.         ... 0.         0.         0.        ]
129,/content/vehicle-detection-image-set/data/non-vehicles/extra4389.png,0.0,[0.25577591 0.         0.         ... 0.         0.         0.        ]
130,/content/vehicle-detection-image-set/data/vehicles/far (125).png,1.0,[0.1119686  0.         0.         ... 0.04090153 0.23362087 0.        ]
131,/content/vehicle-detection-image-set/data/vehicles/1209.png,1.0,[0.28034319 0.         0.         ... 0.25843843 0.13004506 0.        ]
132,/content/vehicle-detection-image-set/data/non-vehicles/extra1165.png,0.0,[0.26335895 0.         0.         ... 0.14634776 0.11569807 0.        ]
133,/content/vehicle-detection-image-set/data/non-vehicles/extra5049.png,0.0,[0.32558687 0.         0.14555638 ... 0.20607672 0.38311364 0.14444312]
134,/content/vehicle-detection-image-set/data/vehicles/middle (109).png,1.0,[0.03880799 0.         0.         ... 0.13618398 0.128139   0.        ]
135,/content/vehicle-detection-image-set/data/non-vehicles/extra1066.png,0.0,[0.31338514 0.         0.         ... 0.3063406  0.3063406  0.        ]
136,/content/vehicle-detection-image-set/data/vehicles/left (665).png,1.0,[0.27309913 0.         0.         ... 0.         0.         0.        ]
137,/content/vehicle-detection-image-set/data/vehicles/1252.png,1.0,[0.26233138 0.         0.         ... 0.         0.         0.        ]
138,/content/vehicle-detection-image-set/data/non-vehicles/image3154.png,0.0,[0. 0. 0. ... 0. 0. 0.]
139,/content/vehicle-detection-image-set/data/vehicles/5938.png,1.0,[0.         0.         0.         ... 0.12011376 0.16656781 0.25910003]
140,/content/vehicle-detection-image-set/data/vehicles/4195.png,1.0,[0.04114402 0.11960108 0.10271595 ... 0.         0.04712772 0.32851449]
141,/content/vehicle-detection-image-set/data/non-vehicles/image2818.png,0.0,[0.03042688 0.         0.         ... 0.         0.28455096 0.        ]
142,/content/vehicle-detection-image-set/data/non-vehicles/extra1873.png,0.0,[0.39379773 0.03244585 0.         ... 0.29793378 0.16215739 0.        ]
143,/content/vehicle-detection-image-set/data/vehicles/middle (326).png,1.0,[0.1774169  0.         0.12793714 ... 0.         0.         0.        ]
144,/content/vehicle-detection-image-set/data/non-vehicles/extra4530.png,0.0,[0.27798218 0.         0.         ... 0.04925053 0.07787193 0.        ]
145,/content/vehicle-detection-image-set/data/non-vehicles/image1900.png,0.0,[0.28232453 0.         0.         ... 0.06684446 0.         0.        ]
146,/content/vehicle-detection-image-set/data/vehicles/4554.png,1.0,[0.29211353 0.28884805 0.         ... 0.         0.         0.        ]
147,/content/vehicle-detection-image-set/data/non-vehicles/image3565.png,0.0,[0.03628249 0.         0.         ... 0.22249329 0.         0.        ]
148,/content/vehicle-detection-image-set/data/non-vehicles/image986.png,0.0,[0.04392502 0.         0.05625147 ... 0.         0.         0.        ]
149,/content/vehicle-detection-image-set/data/vehicles/2691.png,1.0,[0.30571142 0.         0.         ... 0.08508676 0.19405254 0.        ]
150,/content/vehicle-detection-image-set/data/non-vehicles/image1625.png,0.0,[0.27778919 0.         0.27778919 ... 0.27248427 0.         0.        ]
151,/content/vehicle-detection-image-set/data/non-vehicles/extra766.png,0.0,[0.06859865 0.         0.         ... 0.         0.         0.        ]
152,/content/vehicle-detection-image-set/data/vehicles/1400.png,1.0,[0.42386059 0.         0.         ... 0.20671223 0.14945781 0.11435606]
153,/content/vehicle-detection-image-set/data/non-vehicles/extra5427.png,0.0,[0.34706691 0.         0.         ... 0.0168188  0.36079971 0.36079971]
154,/content/vehicle-detection-image-set/data/non-vehicles/extra2130.png,0.0,[0.27680256 0.         0.         ... 0.         0.         0.        ]
155,/content/vehicle-detection-image-set/data/non-vehicles/extra4143.png,0.0,[0.29363538 0.29363538 0.         ... 0.08192133 0.0628308  0.        ]
156,/content/vehicle-detection-image-set/data/non-vehicles/extra2517.png,0.0,[0.22330054 0.         0.21052975 ... 0.26536041 0.         0.15777318]
157,/content/vehicle-detection-image-set/data/vehicles/4359.png,1.0,[0.07100677 0.         0.         ... 0.         0.         0.        ]
158,/content/vehicle-detection-image-set/data/non-vehicles/extra4738.png,0.0,[0.07016715 0.18304828 0.30874431 ... 0.23114513 0.24215813 0.        ]
159,/content/vehicle-detection-image-set/data/vehicles/left (229).png,1.0,[0.25731547 0.         0.         ... 0.02415645 0.         0.        ]
160,/content/vehicle-detection-image-set/data/vehicles/4904.png,1.0,[0.04192044 0.         0.         ... 0.         0.         0.        ]
161,/content/vehicle-detection-image-set/data/vehicles/398.png,1.0,[0.25533273 0.29008435 0.14443801 ... 0.         0.         0.        ]
162,/content/vehicle-detection-image-set/data/non-vehicles/extra4996.png,0.0,[0.0842793  0.18182313 0.11430666 ... 0.14275844 0.33952607 0.        ]
163,/content/vehicle-detection-image-set/data/vehicles/3392.png,1.0,[0.07899327 0.         0.         ... 0.         0.         0.07992576]
164,/content/vehicle-detection-image-set/data/non-vehicles/image925.png,0.0,[0.17427243 0.19484251 0.15708704 ... 0.17449395 0.         0.        ]
165,/content/vehicle-detection-image-set/data/non-vehicles/extra5214.png,0.0,[0.31400742 0.28827434 0.25918417 ... 0.         0.         0.        ]
166,/content/vehicle-detection-image-set/data/non-vehicles/image954.png,0.0,[0.32101096 0.         0.         ... 0.32730323 0.09530172 0.        ]
167,/content/vehicle-detection-image-set/data/non-vehicles/extra5279.png,0.0,[0.19351834 0.         0.         ... 0.         0.         0.        ]
168,/content/vehicle-detection-image-set/data/vehicles/2115.png,1.0,[0.24153246 0.         0.         ... 0.         0.         0.        ]
169,/content/vehicle-detection-image-set/data/non-vehicles/extra5192.png,0.0,[0.28235279 0.         0.24357781 ... 0.         0.         0.        ]
170,/content/vehicle-detection-image-set/data/non-vehicles/image3401.png,0.0,[0.26446538 0.         0.         ... 0.29742431 0.1454119  0.10970948]
171,/content/vehicle-detection-image-set/data/vehicles/3698.png,1.0,[0.3816197  0.14848608 0.         ... 0.         0.         0.26319956]
172,/content/vehicle-detection-image-set/data/vehicles/right (280).png,1.0,[0.23164186 0.         0.         ... 0.24853631 0.         0.        ]
173,/content/vehicle-detection-image-set/data/non-vehicles/image3788.png,0.0,[0.28709386 0.         0.         ... 0.15217008 0.34271685 0.        ]
174,/content/vehicle-detection-image-set/data/non-vehicles/extra396.png,0.0,[0.03613611 0.         0.         ... 0.         0.         0.14073788]
175,/content/vehicle-detection-image-set/data/vehicles/5640.png,1.0,[0.2421349  0.         0.         ... 0.         0.06698196 0.        ]
176,/content/vehicle-detection-image-set/data/non-vehicles/extra3802.png,0.0,[0.27446028 0.21176298 0.         ... 0.         0.         0.        ]
177,/content/vehicle-detection-image-set/data/vehicles/2562.png,1.0,[0.10005813 0.25013154 0.         ... 0.         0.         0.        ]
178,/content/vehicle-detection-image-set/data/vehicles/825.png,1.0,[0.2100031 0.        0.        ... 0.        0.        0.       ]
179,/content/vehicle-detection-image-set/data/non-vehicles/extra3298.png,0.0,[0.19611614 0.         0.         ... 0.         0.         0.06981264]
180,/content/vehicle-detection-image-set/data/non-vehicles/extra3627.png,0.0,[0.17555666 0.17290325 0.         ... 0.         0.         0.        ]
181,/content/vehicle-detection-image-set/data/vehicles/3482.png,1.0,[0.14493536 0.         0.28170369 ... 0.         0.         0.        ]
182,/content/vehicle-detection-image-set/data/vehicles/far (781).png,1.0,[0.14641985 0.1610249  0.20390163 ... 0.         0.         0.        ]
183,/content/vehicle-detection-image-set/data/vehicles/178.png,1.0,[0.33210771 0.         0.2267554  ... 0.27474871 0.         0.        ]
184,/content/vehicle-detection-image-set/data/non-vehicles/image2173.png,0.0,[0.26566775 0.         0.         ... 0.25682569 0.         0.20826324]
185,/content/vehicle-detection-image-set/data/non-vehicles/image2757.png,0.0,[0.39877545 0.         0.         ... 0.         0.         0.28244496]
186,/content/vehicle-detection-image-set/data/non-vehicles/image3351.png,0.0,[0.04031664 0.         0.         ... 0.18610043 0.02047044 0.        ]
187,/content/vehicle-detection-image-set/data/non-vehicles/extra1222.png,0.0,[0.0398766  0.         0.33194079 ... 0.16260361 0.         0.        ]
188,/content/vehicle-detection-image-set/data/vehicles/left (654).png,1.0,[0.0863227  0.         0.04883149 ... 0.         0.         0.        ]
189,/content/vehicle-detection-image-set/data/vehicles/4001.png,1.0,[0.3201772  0.         0.         ... 0.         0.         0.25427415]
190,/content/vehicle-detection-image-set/data/vehicles/right (69).png,1.0,[0.2257774  0.11755853 0.         ... 0.         0.         0.        ]
191,/content/vehicle-detection-image-set/data/non-vehicles/extra5298.png,0.0,[0.         0.         0.         ... 0.         0.20226037 0.11877138]
192,/content/vehicle-detection-image-set/data/non-vehicles/image3855.png,0.0,[0.28421333 0.26369125 0.         ... 0.33550141 0.         0.        ]
193,/content/vehicle-detection-image-set/data/non-vehicles/extra4071.png,0.0,[0.05819373 0.         0.         ... 0.         0.         0.        ]
194,/content/vehicle-detection-image-set/data/vehicles/4895.png,1.0,[0.24397942 0.10911091 0.         ... 0.         0.33484548 0.15906053]
195,/content/vehicle-detection-image-set/data/non-vehicles/extra619.png,0.0,[0.35915137 0.         0.         ... 0.         0.26090349 0.        ]
196,/content/vehicle-detection-image-set/data/non-vehicles/extra1756.png,0.0,[0.01991363 0.         0.         ... 0.         0.         0.        ]
197,/content/vehicle-detection-image-set/data/vehicles/3611.png,1.0,[0.13927674 0.         0.13131136 ... 0.11709329 0.10473142 0.        ]
198,/content/vehicle-detection-image-set/data/non-vehicles/extra634.png,0.0,[0.09388701 0.10496887 0.30099526 ... 0.28739114 0.22155267 0.28739114]
199,/content/vehicle-detection-image-set/data/vehicles/3673.png,1.0,[0.359987 0.       0.       ... 0.       0.       0.      ]
200,/content/vehicle-detection-image-set/data/vehicles/3626.png,1.0,[0.29400404 0.         0.         ... 0.         0.         0.        ]
201,/content/vehicle-detection-image-set/data/vehicles/left (388).png,1.0,[0.34725767 0.12396524 0.         ... 0.         0.         0.        ]
202,/content/vehicle-detection-image-set/data/non-vehicles/image2901.png,0.0,[0. 0. 0. ... 0. 0. 0.]
203,/content/vehicle-detection-image-set/data/vehicles/4262.png,1.0,[0.1720241 0.        0.        ... 0.        0.        0.       ]
204,/content/vehicle-detection-image-set/data/non-vehicles/extra4907.png,0.0,[0.26273392 0.         0.11959426 ... 0.2090707  0.29597291 0.        ]
205,/content/vehicle-detection-image-set/data/non-vehicles/extra3376.png,0.0,[0.01995202 0.         0.         ... 0.         0.         0.        ]
206,/content/vehicle-detection-image-set/data/vehicles/4941.png,1.0,[0.06171878 0.         0.         ... 0.         0.         0.        ]
207,/content/vehicle-detection-image-set/data/non-vehicles/extra1161.png,0.0,[0.31567761 0.         0.         ... 0.02198335 0.         0.        ]
208,/content/vehicle-detection-image-set/data/vehicles/3618.png,1.0,[0.29553119 0.12446982 0.         ... 0.16689395 0.         0.08242305]
